학교명,학생수,학급명,참여시간,대상,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,,,
부여초,4,3반-4,오후,초4,,,,,엄마사랑 분식 천국,미래관 - 3실,,,,,
부여초,4,3반-5,오후,초4,,,,,엄마사랑 분식 천국,행복관 - 4실,,,,,
부여초,4,3반-6,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 8실,,,,,
부여초,5,2반-1,오후,초4,,,,,엄마사랑 분식 천국,미래관 - 7실,,,,,
부여초,5,2반-2,오후,초4,,,,,놀이터 - 5실,온수업관 - 3실,,,,,
부여초,4,2반-3,오후,초4,,,,,놀이터 - 1실,행복관 - 4실,,,,,
부여초,4,2반-4,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 6실,,,,,
부여초,4,2반-5,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 5실,,,,,11
부여초,4,2반-6,오후,초4,,,,,놀이터 - 1실,엄마사랑 분식 천국,,,,,
부여초,4,4반-1,오후,초4,,,,,기초관 - 1실,엄마사랑 분식 천국,,,,,
부여초,4,4반-2,오후,초4,,,,,온수업관 - 3실,엄마사랑 분식 천국,,,,,
부여초,5,4반-3(인원수정),오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 4실,,,,,
부여초 ,5,4반-4,오후,초4,,,,,중점관 - 3실,놀이터 - 8실,,,,,
부여초,4,4반-5,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 1실,,,,,
부여초,4,4반-6,오후,초4,,,,,엄마사랑 분식 천국,놀이터 - 5실,,,,,
석양초,5,1반-1,오후,초6,,,,,미래관 - 7실,온수업관 - 1실,온수업관 - 3실,x,,,
석양초,4,1반-2,오후,초6,,,,,미래관 - 7실,온수업관 - 1실,온수업관 - 3실,x,,,
세도중,2,1-가,오전,중1,중점관 - 2실,온수업관 - 1실,행복관 - 1실,기초관 - 1실,,,,,,,
세도중,2,1-나,오전,중1,행복관 - 2실,중점관 - 3실,기초관 - 5실,놀이터 - 2실,,,,,,,
세도중,2,1-다,오전,중1,기초관 - 1실,중점관 - 3실,미래관 - 4실,온수업관 - 5실,,,,,,,
세도중,3,1-라,오전,중1,엄마사랑 분식 천국,중점관 - 2실,행복관 - 4실,놀이터 - 2실,,,,,,,
세도중,2,2-가,오전,중2,중점관 - 3실,미래관 - 5실,행복관 - 5실,엄마사랑 분식 천국,,,,,,,
